Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Nepal;88.28;87.76;89.94;89.44;90.3;89.52;91.25;91.31;90.47;88.93;87.29;86.95;84.7;86.25;84.37;85.26
Netherlands;1.75;1.78;1.93;1.92;2.24;2.77;3.15;3.72;3.97;4.41;3.87;4.7;4.96;5.02;5.66;5.89
New Caledonia;7.18;6.32;4.92;4.59;4.85;4.75;4.19;5.5;7.44;6.71;4.48;5.57;6.2;6.23;3.98;4.76
New Zealand;28.96;26.88;28.77;28.11;30.56;29.27;29.38;29.12;28.16;30.23;31.32;32.13;30.47;30.01;30.32;30.79
Nicaragua;58.37;56.57;56.59;54.12;53.78;53.9;51.77;51.36;52.56;52.8;52.64;51.68;52.08;52.56;51.84;48.2
Niger;87.69;87.69;87.8;87.03;87.05;87.6;87.48;86.22;86.11;83.3;80.71;77.27;72.75;78.73;78.14;78.94
Nigeria;86.19;84.6;84.51;82.96;83.97;84.07;86.14;87.38;86.35;88.83;86.78;86.15;86.45;86.78;87.3;86.64
North Korea;8.72;8.62;9.03;9.27;9.37;9.23;8.96;10.9;10.2;12.31;13.47;18.08;17.69;23.81;21.03;23.12
Northern Mariana Islands;;;;;;;;;;;;;;;;
Norway;60.19;59.61;59.49;56.26;56.87;58.59;57.06;57.39;58.49;56.77;56.42;56.53;58.28;57.73;57.2;57.77
Oman;;;;;;;;;;;;;;;;
Pakistan;50.96;51.32;51.09;49.71;47.51;47.52;46.51;44.28;45.99;45.77;46.72;46.07;46.52;47.46;46.6;46.48
Palau;;;;;;;;;;;;;;;;
Panama;34.4;31.09;34.7;33.84;33.38;27.04;26.94;26.49;30.55;26.22;19.94;19.14;20.62;20.31;19.77;21.23
Papua New Guinea;66.38;63.44;62.48;60.4;57.48;58.56;58.85;57.13;56.92;56.02;55.25;54.73;55.47;54;52.55;52.5
Paraguay;70.41;69.84;67.68;67.05;66.73;68.82;67.26;66.79;66.63;66.39;64.25;63.11;62.68;63.1;63.12;61.68
Peru;32.16;34.84;34.17;34.82;32.61;32.73;33.88;32.37;25.72;28.06;30.8;29.55;28.25;25.98;26;25.5
Philippines;34.85;33.53;32.83;32.05;31.31;31.43;32.6;31.2;31.73;31.22;28.81;29.4;30.22;29.31;28.58;27.45
Poland;6.93;7.29;7.49;7.29;7.31;7.21;7.18;7.28;8.01;8.84;9.49;10.44;10.92;11.41;11.57;11.91
Portugal;20.11;20.83;18.28;22.09;19.87;18.07;22.33;23.15;23.19;24.89;27.83;27.22;25.52;30.17;30.46;27.16
Puerto Rico;0.73;0.94;0.95;1.09;0.57;0.55;0.57;0.67;0.67;0.73;0.57;0.67;0.7;1.39;1.63;1.84
Qatar;;;;;;;;;;;;;;;;
Republic of Congo;64.85;61.18;68.63;62.21;63.24;63.49;69.69;60.68;57.22;56.39;55.15;64.95;65.51;62.69;62.4;62.4
Romania;16.37;13.39;14.41;15.67;17.28;18.51;17.41;18.18;20.39;22.18;24.1;21.11;21.55;23.09;24.33;23.7
Russia;3.5;3.62;3.46;3.28;3.55;3.62;3.48;3.67;3.31;3.6;3.34;3.23;3.35;3.74;3.42;3.3
Rwanda;86.68;86.88;87.11;87.29;87.54;89.24;90.59;90.31;90.63;90.54;90.66;89.64;88.79;88.47;88.18;86.66
Saint Kitts;26.64;26.28;24.59;26.62;22.22;25.58;0.01;0.01;0.01;0.01;0.99;0.93;1.33;1.51;1.7;1.64
Saint Lucia;2.62;2.31;2.77;2.44;2.54;2.5;2.48;2.42;2.39;2.26;2.2;2.18;2.18;2.17;2.15;2.13
Saint Martin;;;;;;;;;;;;;;;;
Saint Vincent;8.49;6.19;6.07;5.63;5.86;5.81;5.59;5.45;5.51;4.37;5.49;6.55;5.19;6.01;5.8;5.81
Samoa;45.37;44.07;44.95;44.58;44.62;45.13;45.04;45.94;45.97;45.69;46.75;39.82;40.12;42.25;42.34;34.32
San Marino;;;;;;;;;;;;;;;;
Sao Tome and Principe;54.73;55.47;55.34;51.81;48.92;47.94;47.33;47.69;46.04;45.41;43.76;43.12;41.25;41.4;41.81;41.06
Saudi Arabia;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
