Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Suriname;2495.76;;3139.59;2773.23;3272.31;2577.08;2536.25;2466.9;3262.84;3125.75;;2598.26;2657.88;;;
Swaziland;2814.74;2694.99;2760.55;2632.37;3058.63;2940.41;2646.74;3715.27;3255.84;3032.49;3378.34;3430.02;3478.03;;;
Sweden;77926.24;77118.8;78855.44;79443.95;77672.93;74562.61;74171.14;71293.17;69993.28;65034.07;71434.71;68780.33;65767.79;;;
Switzerland;53063.22;54075.37;52997.42;54552.75;55222.56;55882.85;55762.01;54112.49;56634.89;55245.97;57154.18;53066.87;54108.1;;;
Syria;68163.27;65587.33;66236.36;66146.2;66910.84;67605.91;71044.97;73073.07;70097.54;69995.66;73021.04;75181.26;77118.71;;;
Tajikistan;10059.4;10365.75;10320.59;10832.78;11882.39;12218.02;13240;14531.79;14274.6;14128.88;14727.21;15285.82;15364.58;;;
Tanzania;215939.36;196701.2;183662.08;259727.88;221348.89;269558.99;167500.8;202224.85;201404.52;231456.25;234147.16;234762.03;235353.12;;;
Thailand;283870.04;287255.6;322454.08;324192.72;380171.27;364315.7;349980.87;388568;357708.28;363782.11;421227.83;431312.31;440411.68;;;
Timor-Leste;615.33;790.91;804.05;860.41;878.93;885.58;898.1;901.88;912.73;925.42;940.46;949.91;959.35;;;
Togo;22054.71;18097.7;20990.36;20323.8;14388;32080.96;17748.18;19389.96;27174.08;23856.09;22578.12;22760.64;22931.86;;;
Tonga;175.12;174.84;150.11;158.06;152.49;153.79;152.77;153.47;147.59;147.55;151.93;155.29;;;;
Trinidad;24111.81;25251.93;;31439.72;38415.06;43922.04;52004.72;51308.1;54553.47;54882.34;58068.76;59776.58;61308.53;;;
Tunisia;30799.83;31281.86;31568.35;31530.91;32529.08;32172.82;33238.04;33570.52;35101.99;35556.61;37649.97;38741.14;39721.01;;;
Turkey;316464.84;297564.11;310061.15;323781.17;333497.62;347595.11;377156.06;406298.25;399181.9;404636.72;422721.87;434798.46;445640.08;;;
Turkmenistan;63236.16;66916.35;70833.49;80037.23;76966.67;79175.65;81028.32;86686.09;91468.98;80016.14;87379.67;88648.72;92178.07;;;
Turks and Caicos Islands;;;;;;;;;;;;;;;;
Uganda;72771.09;57992.59;59822.89;89594.61;70139.65;111346.72;40779.02;104200.61;89206.67;52830.35;79906.21;80318.97;80725.08;;;
UK;673897.41;683080.09;661572.36;670993.35;662917.6;659108.09;658331.24;646412.15;635417.17;584940.88;609586.56;568061.83;585779.78;;;
Ukraine;470107.96;459965.89;462724.22;484337.02;457164.88;434668.76;432631.66;444201.66;436817.13;367349.71;393092.06;410067.31;404900.3;;;
